光,guang1 - light
盘,pan2 - plate
音,"yin1 - note, syllable"
乐,"yue4 - music, le4 - happiness"
商,shang1 - business
场,chang3 - level open space
常,chang2 - common
跟,"gen1 - heel, follow, be with"
书,shu1 - book
报,bao4 - newspaper
本,"ben3 - notebook, measure word for book"
子,"zi3 - son, child"
梁,"liang2 - name, bridge, roof beam"
傅,fu4 - instructor
香,xiang1 - fragrant
蕉,jiao1 - broadleaf plant
苹,ping2 - apple
果,guo3 - fruit
容,"rong2 - contain, tolerate, allow"
易,yi4 - easy
葡,pu2 - grape
萄,tao2 - grape
钱,qian2 - money
斤,"jin1 - axe, 0.5 kilos"
块,"kuai4 - chunk, lump, dollar"
毛,"mao2 - dime, hair"
分,"fen1 - divide, cent"
送,"song4 - gift to, deliver"
给,gei3 - give
找,"zhao3 - search, give change"
