餐,can1 - food
厅,ting1 - hall
在,zai4 - is at
儿,er2 - child
宿,su4 - stay overnight
舍,she4 - dormitory
女,nv3 - female
坐,zuo4 - sit
谢,xie4 - thank
对,dui4 - face
起,qi3 - rise
知,zhi1 - know
道,dao4 - road
没,mei2 - doesn't have
关,guan1 - close
系,"xi4 - system, department"
再,zai4 - again
见,jian4 - meet
王,wang2 - king
小,xiao3 - small
云,yun2 - cloud
姐,jie3 - older sister
一,yi1 - one
二,er4 - two
三,san1 - three
四,si4 - four
五,wu3 - five
六,liu4 - six
七,qi1 - seven
八,ba1 - eight
九,jiu3 - nine
十,shi2 - ten
号,"hao4 - number, day of the month"
用,yong4 - use
晚,wan3 - late
了,"le - particle, already done"
宋,song4 - name
华,hua2 - name
